股票,名稱,市場,族群,日期,收盤價,漲幅%,MA5,EMA20,KD-K,KD-D,MACD,SIGNAL,成交量,量比,成交值(億),60日高點,20日支撐,距離前高%,RR,外資今日,外資3日,投信今日,投信3日,AI分數,交易品質,熱門排行
2609,陽明海運股份有限公司,上市,航運業,2026-08-20,60.3,2.2,56.36,53.28,90.0,83.4,1.68,0.68,152656768,4.31,92.05,60.3,50.0,-0.0,0.0,0,0,0,0,36,提前發動,1
2615,萬海航運股份有限公司,上市,航運業,2026-08-20,113.5,6.57,103.04,92.49,91.93,84.56,5.96,3.28,76245265,3.69,86.54,113.5,83.6,0.0,0.0,0,0,0,0,36,提前發動,2
2428,興勤電子工業股份有限公司,上市,電子零組件,2026-08-20,267.0,4.09,257.0,249.34,76.13,76.66,-1.46,-7.26,5187942,3.67,13.85,343.5,199.0,22.27,1.12,0,0,0,0,35,提前發動,3
6108,競國實業股份有限公司,上市,電子零組件,2026-08-20,26.0,5.05,23.87,20.56,90.97,89.36,1.78,0.93,9335202,4.37,2.43,26.0,16.25,0.0,0.0,0,0,0,0,34,潛力強勢,4
2603,長榮海運股份有限公司,上市,航運業,2026-08-20,246.0,2.29,235.0,218.42,91.84,88.72,9.74,5.93,31167144,2.52,76.67,246.0,200.0,0.0,0.0,0,0,0,0,34,潛力強勢,5
2634,漢翔航空工業股份有限公司,上市,航運業,2026-08-20,72.3,5.39,71.16,65.44,71.2,70.0,3.01,2.24,79748725,1.65,57.66,73.3,58.6,1.36,0.07,0,0,0,0,34,潛力強勢,6
6451,訊芯科技控股股份有限公司,上市,半導體,2026-08-20,437.0,5.56,431.2,431.64,46.99,53.06,-8.49,-14.75,6382926,1.64,27.89,724.0,322.0,39.64,2.5,0,0,0,0,34,潛力強勢,7
1101,臺灣水泥股份有限公司,上市,水泥工業,2026-08-20,24.8,3.12,24.28,24.2,53.06,50.4,0.13,0.11,44185262,1.64,10.96,24.85,23.55,0.2,0.04,0,0,0,0,34,潛力強勢,8
2455,全新光電科技股份有限公司,上市,通信網路,2026-08-20,412.0,3.91,404.5,370.84,68.8,73.51,20.2,13.19,16505109,1.5,68.0,428.0,265.5,3.74,0.11,0,0,0,0,34,潛力強勢,9
2486,一詮精密工業股份有限公司,上市,光電,2026-08-20,251.0,6.81,236.9,230.04,66.77,62.75,2.1,-1.92,16718566,2.1,41.96,279.5,171.0,10.2,0.36,0,0,0,0,33,潛力強勢,10
1402,遠東新世紀股份有限公司,上市,紡織纖維,2026-08-20,29.2,4.29,27.93,27.58,81.76,69.51,0.17,-0.02,37760874,2.1,11.03,29.2,26.7,0.0,0.0,0,0,0,0,32,潛力強勢,11
3042,台灣晶技股份有限公司,上市,電子零組件,2026-08-20,188.5,1.34,185.8,178.43,63.77,69.12,2.05,-1.25,34727647,2.08,65.46,249.0,136.5,24.3,1.16,0,0,0,0,32,潛力強勢,12
1795,美時化學製藥股份有限公司,上市,生技醫療,2026-08-20,195.0,4.56,185.9,187.54,55.67,50.36,-0.87,-1.82,3025468,2.22,5.9,209.5,173.0,6.92,0.66,0,0,0,0,31,潛力強勢,13
8039,台虹科技股份有限公司,上市,電子零組件,2026-08-20,283.0,4.24,272.7,233.91,81.18,78.82,24.82,19.66,43588096,1.49,123.35,283.0,158.0,0.0,0.0,0,0,0,0,31,潛力強勢,14
2605,新興航運股份有限公司,上市,航運業,2026-08-20,36.4,-0.95,34.72,33.02,76.36,72.36,1.1,0.61,29308662,2.72,10.67,36.75,29.95,0.95,0.05,0,0,0,0,30,潛力強勢,15
3045,台灣大哥大股份有限公司,上市,通信網路,2026-08-20,115.0,1.32,111.7,111.63,79.59,56.99,-0.29,-0.8,18474229,1.47,21.25,120.5,108.0,4.56,0.79,0,0,0,0,30,潛力強勢,16
2637,慧洋海運股份有限公司,上市,航運業,2026-08-20,94.7,3.16,89.58,86.28,86.15,81.55,2.83,2.16,9271045,2.93,8.78,94.7,78.1,-0.0,0.0,0,0,0,0,29,潛力強勢,17
6416,瑞祺電通股份有限公司,上市,通信網路,2026-08-20,102.5,5.78,96.12,97.0,48.62,45.71,1.21,1.51,2387035,2.9,2.45,106.5,86.5,3.76,0.25,0,0,0,0,29,潛力強勢,18
2351,順德工業股份有限公司,上市,半導體,2026-08-20,183.5,-0.81,177.1,172.32,67.35,65.36,0.45,-3.11,6609818,1.88,12.13,228.0,130.5,19.52,0.84,0,0,0,0,29,潛力強勢,19
